case,time,emitter_population,cavity_population,trace
lossless,0.0,1.0,0.0,1.0
lossless,0.01,0.9999000034364789,9.999666663890725e-05,1.0000000001031177
lossless,0.02,0.9996000546209937,0.00039994666969704227,1.0000000012906907
lossless,0.03,0.9991002726731188,0.0008997300341824087,1.0000000027073013
lossless,0.04,0.9984008571441598,0.0015991468540207281,1.0000000039981805
lossless,0.05,0.9975020878970303,0.0024979173725429623,1.0000000052695732
lossless,0.06,0.9964043245137828,0.003595682094506995,1.0000000066082897
lossless,0.07,0.9951080061447707,0.004892001929967174,1.0000000080747378
lossless,0.08,0.9936136513210286,0.00638635836981902,1.0000000096908477
lossless,0.09,0.9919218574761692,0.008078153690865217,1.0000000111670344
lossless,0.1,0.9900333012813999,0.009966711197408837,1.0000000124788087
lossless,0.11,0.9879487382531551,0.012051275492800927,1.000000013745956
lossless,0.12,0.9856690022809336,0.014331012780854833,1.0000000150617885
lossless,0.13,0.9831950052938679,0.01680501119927435,1.0000000164931422
lossless,0.14,0.9805277368961588,0.019472281184216265,1.000000018080375
lossless,0.15,0.9776682637562355,0.02233175586106084,1.0000000196172962
lossless,0.16,0.9746177294821184,0.025382291474807594,1.000000020956926
lossless,0.17,0.9713773543710669,0.028622667854250012,1.000000022225317
lossless,0.18,0.9679484346270422,0.03205158889515822,1.0000000235222004
lossless,0.19,0.964332341842367,0.03566768307846515,1.0000000249208323
lossless,0.2,0.9605305224494585,0.0394695040185314,1.0000000264679898
lossless,0.21,0.956544497020245,0.04345553103582867,1.0000000280560737
lossless,0.22,0.9523758596688157,0.04762416976216154,1.0000000294309772
lossless,0.23,0.9480262779051463,0.05197375280132821,1.0000000307064745
lossless,0.24,0.9434974916053847,0.05650254038333078,1.0000000319887155
lossless,0.25,0.9387913122982238,0.06120872105915121,1.000000033357375
lossless,0.26,0.9339096224200532,0.06609041242339588,1.000000034843449
lossless,0.27,0.9288543730856955,0.07114566175867394,1.0000000348443694
lossless,0.28,0.9236275877280168,0.07637244711729181,1.0000000348453086
lossless,0.29,0.9182313569892542,0.08176867785854057,1.0000000348477946
lossless,0.3,0.9126678392819106,0.08733219557205071,1.0000000348539613
lossless,0.31,0.9069392599562008,0.09306077490666097,1.0000000348628617
lossless,0.32,0.9010479103383894,0.09895212453248108,1.0000000348708704
lossless,0.33,0.8949961469183715,0.10500388795257033,1.000000034870942
lossless,0.34,0.8887863902887305,0.11121364458206069,1.0000000348707911
lossless,0.35000000000000003,0.882421124327012,0.11757891054366733,1.0000000348706795
lossless,0.36,0.8759028950243866,0.12409713984458096,1.0000000348689675
lossless,0.37,0.8692343095814221,0.13076572528442346,1.0000000348658455
lossless,0.38,0.8624180353456601,0.13758199951844763,1.0000000348641076
lossless,0.39,0.8554567987290926,0.14454323612678815,1.0000000348558808
lossless,0.4,0.8483533841346664,0.15164665070769676,1.0000000348423632
lossless,0.41000000000000003,0.8411106328447556,0.1588894019917613,1.000000034836517
lossless,0.42,0.8337314418461776,0.16626859297201027,1.0000000348181879
lossless,0.43,0.82621876270224,0.1737812720674435,1.0000000347696836
lossless,0.44,0.8185756003840752,0.18142443430588373,1.000000034689959
lossless,0.45,0.8108050120691382,0.18919502252646442,1.0000000345956026
lossless,0.46,0.8029101059268312,0.1970899286046068,1.000000034531438
lossless,0.47000000000000003,0.7948940398243671,0.20510599468509563,1.0000000345094628
lossless,0.48,0.7867600199952179,0.21324001442969423,1.0000000344249123
lossless,0.49,0.7785112999349363,0.22148873433705063,1.000000034271987
lossless,0.5,0.7701511790410231,0.22984885503310423,1.0000000340741273
lossless,0.51,0.761683001299918,0.23831703259342366,1.0000000338933417
lossless,0.52,0.753110153950458,0.24688987988201216,1.0000000338324702
lossless,0.53,0.7444360659153497,0.25556396784655216,1.000000033761902
lossless,0.54,0.7356642066465677,0.26433582694725694,1.0000000335938246
lossless,0.55,0.726798084784367,0.2732019485598517,1.0000000333442187
lossless,0.56,0.7178412467033861,0.2821587863666717,1.0000000330700578
lossless,0.5700000000000001,0.7087972751047451,0.29120275777999743,1.0000000328847425
lossless,0.58,0.6996697874971222,0.30033024534662855,1.0000000328437508
lossless,0.59,0.6904624345781957,0.30953759813184206,1.0000000327100378
lossless,0.6,0.6811788991574902,0.3188211333121055,1.0000000324695957
lossless,0.61,0.671822894554531,0.3281771376068489,1.00000003216138
lossless,0.62,0.6623981631120374,0.337601868765324,1.0000000318773614
lossless,0.63,0.652908474703899,0.34709155706743017,1.0000000317713291
lossless,0.64,0.6433576249764419,0.3566424067204748,1.0000000316969166
lossless,0.65,0.6337494340445781,0.3662505974668355,1.0000000315114135
lossless,0.66,0.6240877450693668,0.3759122861622878,1.0000000312316546
lossless,0.67,0.6143764226391137,0.38562360827986,1.0000000309189736
lossless,0.68,0.6046193512329261,0.39538067946247013,1.0000000306953962
lossless,0.6900000000000001,0.5948204336051902,0.4051795970441061,1.0000000306492964
lossless,0.7000000000000001,0.5849835890274198,0.4150164414961884,1.000000030523608
lossless,0.71,0.5751127520898397,0.4248872782002327,1.0000000302900725
lossless,0.72,0.5652118710187038,0.4347881589654217,1.0000000299841256
lossless,0.73,0.5552849060876677,0.44471512360526066,1.0000000296929283
lossless,0.74,0.5453358280408219,0.45466420152886805,1.00000002956969
lossless,0.75,0.5353686163103886,0.46463141319311757,1.000000029503506
lossless,0.76,0.5253872575507995,0.47461277177564803,1.0000000293264475
lossless,0.77,0.5153957441819649,0.4846042848704933,1.0000000290524582
lossless,0.78,0.505398072708822,0.49460195602996204,1.000000028738784
lossless,0.79,0.49539824213024714,0.5046017863717702,1.0000000285020174
lossless,0.8,0.48540025230227557,0.5145997761485214,1.0000000284507968
lossless,0.81,0.4754081021535579,0.5245919261804025,1.0000000283339605
lossless,0.8200000000000001,0.4654257883896307,0.534574239718593,1.0000000281082237
lossless,0.8300000000000001,0.4554573038204872,0.544542723985121,1.0000000278056083
lossless,0.84,0.44550663574851207,0.5544933917600876,1.0000000275085996
lossless,0.85,0.4355777643802522,0.5644222629866179,1.00000002736687
lossless,0.86,0.42567466109654095,0.5743253662125265,1.0000000273090675
lossless,0.87,0.4158012869150254,0.5841987402256641,1.0000000271406895
lossless,0.88,0.40596159106046903,0.5940384358124277,1.0000000268728968
lossless,0.89,0.3961595093048349,0.6038405172541345,1.0000000265589692
lossless,0.9,0.386398962398674,0.6136010639115305,1.0000000263102045
lossless,0.91,0.3766838544827193,0.6233161717688367,1.000000026251556
lossless,0.92,0.36701807136909065,0.6329819547744436,1.0000000261435342
lossless,0.93,0.35740547921841825,0.6425945467073642,1.0000000259257824
lossless,0.9400000000000001,0.34784992295218226,0.6521501026748229,1.0000000256270052
lossless,0.9500000000000001,0.3383552246962374,0.6616448006288785,1.000000025325116
lossless,0.96,0.32892518225689116,0.6710748429071034,1.0000000251639944
lossless,0.97,0.3195635675131258,0.6804364576007382,1.000000025113864
lossless,0.98,0.3102741249058892,0.6897259000483607,1.0000000249542498
lossless,0.99,0.30106057009269493,0.6989394546003109,1.0000000246930059
lossless,1.0,0.2919265883904191,0.7080734359891198,1.0000000243795388
lossless,1.01,0.28287583330497096,0.7171241908149789,1.0000000241199498
lossless,1.02,0.27391192506055445,0.7260880989911443,1.0000000240516989
lossless,1.03,0.265038449030217,0.7349615749222286,1.0000000239524456
lossless,1.04,0.2562589544626479,0.7437410692801922,1.0000000237428401
lossless,1.05,0.24757695304740865,0.7524230704009567,1.0000000234483652
lossless,1.06,0.2389959174907366,0.7610041056517334,1.00000002314247
