g,kappa,gamma,predicted_rate,fitted_rate,relative_rate_error,fit_start,fit_end,max_log_fit_residual
1.0,20.0,0.02,0.22,0.2222468837212164,0.010213107823710876,0.5,13.636363636363637,0.00014826805081406824
1.0,40.0,0.02,0.12000000000000001,0.12030164762196019,0.0025137301830016057,0.27083333333333326,24.999999999999993,2.279389210286739e-05
1.0,80.0,0.02,0.07,0.07004381510564238,0.000625930080605297,0.14285714285714285,42.857142857142854,4.147656363742355e-06
